Edge    Weight
186 - 2      0.27
787 - 3      0.39
905 - 4      0.32
153 - 5      0.50
142 - 6      0.02
235 - 7      0.22
947 - 8      0.26
901 - 9      0.04
820 - 10      0.25
279 - 11      0.19
636 - 12      0.34
783 - 13      0.05
175 - 14      0.11
107 - 15      0.10
843 - 16      0.26
423 - 17      0.41
674 - 18      0.35
864 - 19      0.24
168 - 20      0.18
814 - 21      0.13
553 - 22      0.27
676 - 23      0.27
378 - 24      0.45
158 - 25      0.18
900 - 26      0.53
782 - 27      0.29
221 - 28      0.26
712 - 29      0.47
279 - 30      0.08
208 - 31      0.03
302 - 32      0.19
548 - 33      0.13
389 - 34      0.24
797 - 35      0.16
683 - 36      0.17
760 - 37      0.10
344 - 38      0.20
68 - 39      0.23
333 - 40      0.26
635 - 41      0.01
18 - 42      0.14
251 - 43      0.23
756 - 44      0.30
421 - 45      0.01
350 - 46      0.08
320 - 47      0.42
467 - 48      0.39
876 - 49      0.37
198 - 50      0.05
663 - 51      0.12
491 - 52      0.01
739 - 53      0.08
97 - 54      0.36
732 - 55      0.01
632 - 56      0.08
232 - 57      0.01
960 - 58      0.18
225 - 59      0.26
905 - 60      0.12
31 - 61      0.35
964 - 62      0.30
820 - 63      0.25
286 - 64      0.10
551 - 65      0.11
856 - 66      0.06
740 - 67      0.33
857 - 68      0.25
288 - 69      0.43
739 - 70      0.21
742 - 71      0.04
527 - 72      0.21
746 - 73      0.19
513 - 74      0.60
690 - 75      0.12
690 - 76      0.09
124 - 77      0.20
427 - 78      0.00
262 - 79      0.23
833 - 80      0.43
542 - 81      0.06
284 - 82      0.10
489 - 83      0.15
794 - 84      0.75
449 - 85      0.26
852 - 86      0.14
232 - 87      0.07
861 - 88      0.00
968 - 89      0.36
237 - 90      0.19
420 - 91      0.10
350 - 92      0.04
857 - 93      0.39
334 - 94      0.10
140 - 95      0.29
39 - 96      0.23
616 - 97      0.18
855 - 98      0.05
818 - 99      0.02
957 - 100      0.11
767 - 101      0.45
358 - 102      0.39
485 - 103      0.24
487 - 104      0.11
542 - 105      0.30
887 - 106      0.11
509 - 107      0.12
492 - 108      0.50
899 - 109      0.06
631 - 110      0.11
796 - 111      1.30
686 - 112      0.02
297 - 113      0.02
431 - 114      0.18
21 - 115      0.06
49 - 116      0.40
580 - 117      0.06
746 - 118      0.16
323 - 119      0.46
1 - 120      0.20
469 - 121      0.20
924 - 122      0.16
651 - 123      0.06
336 - 124      0.19
10 - 125      0.09
986 - 126      0.04
462 - 127      0.40
942 - 128      0.37
543 - 129      0.34
790 - 130      0.04
911 - 131      0.21
318 - 132      0.23
495 - 133      0.16
585 - 134      0.11
280 - 135      0.09
534 - 136      0.01
70 - 137      0.03
983 - 138      0.09
776 - 139      0.03
742 - 140      0.20
121 - 141      0.25
338 - 142      0.34
623 - 143      0.41
359 - 144      0.06
794 - 145      0.40
66 - 146      0.04
980 - 147      0.04
481 - 148      0.09
309 - 149      0.48
828 - 150      0.04
763 - 151      0.04
220 - 152      0.27
161 - 153      0.21
31 - 154      0.48
228 - 155      0.53
882 - 156      0.71
181 - 157      0.03
843 - 158      0.06
736 - 159      0.06
212 - 160      0.01
492 - 161      0.08
522 - 162      0.23
537 - 163      0.46
652 - 164      0.05
199 - 165      0.04
848 - 166      0.13
134 - 167      0.42
856 - 168      0.09
240 - 169      0.22
232 - 170      0.41
569 - 171      0.73
33 - 172      0.14
781 - 173      0.19
769 - 174      0.16
333 - 175      0.05
857 - 176      0.33
482 - 177      0.11
317 - 178      0.24
23 - 179      0.22
176 - 180      0.54
249 - 181      0.19
951 - 182      0.08
900 - 183      0.07
197 - 184      0.04
103 - 185      0.04
211 - 186      0.14
86 - 187      0.15
995 - 188      0.08
776 - 189      0.22
244 - 190      0.09
218 - 191      0.22
727 - 192      0.05
457 - 193      0.23
961 - 194      0.24
278 - 195      0.22
925 - 196      0.27
246 - 197      0.39
939 - 198      0.03
620 - 199      0.01
349 - 200      0.08
556 - 201      0.09
695 - 202      0.12
660 - 203      0.60
173 - 204      0.07
938 - 205      0.35
894 - 206      0.19
619 - 207      0.03
776 - 208      0.09
222 - 209      0.06
847 - 210      0.36
645 - 211      0.05
73 - 212      0.05
598 - 213      0.15
114 - 214      0.32
875 - 215      0.13
285 - 216      0.06
66 - 217      0.07
224 - 218      0.17
707 - 219      0.58
482 - 220      0.24
440 - 221      0.26
272 - 222      0.18
228 - 223      0.25
982 - 224      0.01
858 - 225      0.02
825 - 226      0.00
54 - 227      0.10
214 - 228      0.23
825 - 229      0.09
632 - 230      0.09
676 - 231      0.18
580 - 232      0.07
652 - 233      0.07
788 - 234      0.01
408 - 235      0.06
820 - 236      0.24
341 - 237      0.11
288 - 238      0.06
589 - 239      0.12
687 - 240      0.14
335 - 241      0.52
188 - 242      0.30
484 - 243      0.14
499 - 244      0.28
897 - 245      0.02
163 - 246      0.18
165 - 247      0.20
607 - 248      0.02
166 - 249      0.26
759 - 250      0.24
533 - 251      0.40
925 - 252      0.49
348 - 253      0.28
732 - 254      0.45
698 - 255      0.01
636 - 256      0.03
730 - 257      0.69
166 - 258      0.21
896 - 259      0.00
807 - 260      0.10
933 - 261      0.11
152 - 262      0.12
948 - 263      0.13
388 - 264      1.06
104 - 265      0.16
502 - 266      0.05
850 - 267      0.19
306 - 268      0.03
476 - 269      0.37
897 - 270      0.38
976 - 271      0.00
999 - 272      0.02
405 - 273      0.32
649 - 274      0.21
288 - 275      0.20
852 - 276      0.03
542 - 277      0.17
327 - 278      0.17
83 - 279      0.15
130 - 280      0.43
326 - 281      0.12
565 - 282      0.25
375 - 283      0.52
297 - 284      0.40
709 - 285      0.11
603 - 286      0.00
550 - 287      0.25
426 - 288      0.33
923 - 289      0.07
546 - 290      0.22
91 - 291      0.28
834 - 292      0.49
445 - 293      0.16
633 - 294      0.24
15 - 295      0.21
909 - 296      0.20
371 - 297      0.33
69 - 298      0.69
51 - 299      0.20
897 - 300      0.40
977 - 301      0.55
352 - 302      0.15
198 - 303      0.23
904 - 304      0.19
873 - 305      0.04
